,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
68,2016,4,Tex.,0,1,6,0,0,2,1,8,3,2,0,0,3,1,2
69,2016,4,MOUNTAIN,0,1,2,0,2,0,1,3,0,2,0,0,3,0,0
70,2016,4,Ariz.,0,0,2,0,2,0,0,2,0,1,0,0,1,0,0
71,2016,4,Colo.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
72,2016,4,Idaho,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
73,2016,4,Mont.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
74,2016,4,Nev.,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
75,2016,4,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,2016,4,Utah,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
77,2016,4,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2016,4,PACIFIC,0,2,12,0,7,0,2,7,3,13,0,1,7,8,13
79,2016,4,Alaska,0,0,2,0,1,0,0,2,0,1,0,0,1,0,1
80,2016,4,Calif.,0,1,9,0,4,0,1,6,1,8,0,1,4,5,9
81,2016,4,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,2,0,0
82,2016,4,Oreg.,0,0,3,0,2,0,0,2,2,4,0,0,3,3,3
83,2016,4,Wash.,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0
84,2016,4,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2016,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2016,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2016,4,P.R.,N,0,0,N,N,0,0,5,0,0,0,0,0,0,0
88,2016,4,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2016,5,UNITED STATES,56,439,"2,257",550,876,13,21,56,59,92,6,6,15,25,51
23,2016,5,NEW ENGLAND,0,83,723,38,271,0,1,6,4,6,0,0,2,0,2
24,2016,5,Conn.,0,27,187,2,69,0,0,1,1,1,0,0,0,0,0
25,2016,5,Maine,0,15,79,12,30,0,0,3,1,0,0,0,2,0,0
26,2016,5,Mass.,0,30,390,0,131,0,1,3,0,5,0,0,2,0,2
