,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
31,2005,5,Ohio,2,15,0,3,1,1,0,0,1,11
32,2005,5,Ind.,2,2,0,0,0,0,0,0,2,2
33,2005,5,Ill.,0,0,0,0,0,0,0,0,0,0
34,2005,5,Mich.,2,2,2,2,0,0,0,0,0,0
35,2005,5,Wis.,0,3,0,0,0,0,0,0,0,3
36,2005,5,W.N. CENTRAL,6,7,1,0,0,1,0,0,5,6
37,2005,5,Minn.,0,0,0,0,0,0,0,0,0,0
38,2005,5,Iowa,1,1,0,0,0,1,0,0,1,0
39,2005,5,Mo.,4,3,1,0,0,0,0,0,3,3
40,2005,5,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,5,S. Dak.,0,1,0,0,0,0,0,0,0,1
42,2005,5,Nebr.,0,1,0,0,0,0,0,0,0,1
43,2005,5,Kans.,1,1,0,0,0,0,0,0,1,1
44,2005,5,S. ATLANTIC,16,36,1,0,1,1,0,0,14,35
45,2005,5,Del.,0,0,0,0,0,0,0,0,0,0
46,2005,5,Md.,2,3,0,0,1,0,0,0,1,3
47,2005,5,D.C.,0,1,0,0,0,0,0,0,0,1
48,2005,5,Va.,0,2,0,0,0,0,0,0,0,2
49,2005,5,W. Va.,0,3,0,0,0,0,0,0,0,3
50,2005,5,N.C.,3,3,1,0,0,1,0,0,2,2
51,2005,5,S.C.,2,4,0,0,0,0,0,0,2,4
52,2005,5,Ga.,3,5,0,0,0,0,0,0,3,5
53,2005,5,Fla.,6,15,0,0,0,0,0,0,6,15
54,2005,5,E.S. CENTRAL,1,9,0,0,0,0,0,0,1,9
55,2005,5,Ky.,0,2,0,0,0,0,0,0,0,2
56,2005,5,Tenn.,1,4,0,0,0,0,0,0,1,4
57,2005,5,Ala.,0,1,0,0,0,0,0,0,0,1
58,2005,5,Miss.,0,2,0,0,0,0,0,0,0,2
59,2005,5,W.S. CENTRAL,5,26,1,1,0,0,0,0,4,25
60,2005,5,Ark.,1,3,0,0,0,0,0,0,1,3
61,2005,5,La.,3,8,0,1,0,0,0,0,3,7
62,2005,5,Okla.,1,1,1,0,0,0,0,0,0,1
63,2005,5,Tex.,0,14,0,0,0,0,0,0,0,14
64,2005,5,MOUNTAIN,3,8,0,0,0,1,0,0,3,7
65,2005,5,Mont.,0,0,0,0,0,0,0,0,0,0
66,2005,5,Idaho,0,1,0,0,0,0,0,0,0,1
67,2005,5,Wyo.,0,1,0,0,0,0,0,0,0,1
68,2005,5,Colo.,2,3,0,0,0,0,0,0,2,3
69,2005,5,N. Mex.,0,0,0,0,0,0,0,0,0,0
70,2005,5,Ariz.,1,1,0,0,0,0,0,0,1,1
71,2005,5,Utah,0,0,0,0,0,0,0,0,0,0
72,2005,5,Nev.,0,2,0,0,0,1,0,0,0,1
73,2005,5,PACIFIC,20,56,0,1,1,0,0,0,19,55
74,2005,5,Wash.,4,3,0,1,1,0,0,0,3,2
75,2005,5,Oreg.,7,11,0,0,0,0,0,0,7,11
76,2005,5,Calif.,9,40,0,0,0,0,0,0,9,40
77,2005,5,Alaska,0,0,0,0,0,0,0,0,0,0
78,2005,5,Hawaii,0,2,0,0,0,0,0,0,0,2
79,2005,5,Guam,0,0,0,0,0,0,0,0,0,0
80,2005,5,P.R.,0,0,0,0,0,0,0,0,0,0
81,2005,5,V.I.,0,0,0,0,0,0,0,0,0,0
