,model_name,weigth,date_forecast,forecast_window,past_months
0,arima,4.192742271993432e-270,2008-06-30,4m,2
1,eakf_model1,0.999999999931846,2008-06-30,4m,2
2,eakf_model2,7.407254719411015e-54,2008-06-30,4m,2
3,eakf_model3,6.815401655597528e-11,2008-06-30,4m,2
0,arima,4.516531533753427e-148,2008-06-30,5m,2
1,eakf_model1,0.999999999909548,2008-06-30,5m,2
2,eakf_model2,4.4986407834089874e-42,2008-06-30,5m,2
3,eakf_model3,9.045180540202239e-11,2008-06-30,5m,2
0,arima,1.3546068658984873e-85,2008-06-30,6m,2
1,eakf_model1,0.9999999993551556,2008-06-30,6m,2
2,eakf_model2,4.3761383407220864e-51,2008-06-30,6m,2
3,eakf_model3,6.448443278252262e-10,2008-06-30,6m,2
0,arima,1.6194003391876133e-251,2008-07-31,1m,2
1,eakf_model1,0.9999999999794684,2008-07-31,1m,2
2,eakf_model2,8.0160916879089645e-22,2008-07-31,1m,2
3,eakf_model3,2.0531713331190783e-11,2008-07-31,1m,2
0,arima,1.0604918730116316e-151,2008-07-31,2m,2
1,eakf_model1,0.999999999985414,2008-07-31,2m,2
2,eakf_model2,2.091616266129524e-33,2008-07-31,2m,2
3,eakf_model3,1.4585764443348018e-11,2008-07-31,2m,2
0,arima,5.109799029074275e-90,2008-07-31,3m,2
1,eakf_model1,0.9999999999963988,2008-07-31,3m,2
2,eakf_model2,1.8447858163517347e-27,2008-07-31,3m,2
3,eakf_model3,3.6010910826031935e-12,2008-07-31,3m,2
0,arima,8.965850789797835e-181,2008-07-31,4m,2
1,eakf_model1,0.9999999999752214,2008-07-31,4m,2
2,eakf_model2,6.698288079916089e-50,2008-07-31,4m,2
3,eakf_model3,2.47786495197726e-11,2008-07-31,4m,2
0,arima,8.442990531235287e-192,2008-07-31,5m,2
1,eakf_model1,0.9999999999763256,2008-07-31,5m,2
2,eakf_model2,2.113044051404621e-34,2008-07-31,5m,2
3,eakf_model3,2.367435565184077e-11,2008-07-31,5m,2
0,arima,2.1306568675968943e-76,2008-07-31,6m,2
1,eakf_model1,0.9999999999816064,2008-07-31,6m,2
2,eakf_model2,1.1125561948752196e-21,2008-07-31,6m,2
3,eakf_model3,1.839346285688861e-11,2008-07-31,6m,2
0,arima,0.0,2008-08-31,1m,2
1,eakf_model1,0.9999999999324892,2008-08-31,1m,2
2,eakf_model2,6.751098001920869e-11,2008-08-31,1m,2
3,eakf_model3,2.6176984262496608e-21,2008-08-31,1m,2
0,arima,0.0,2008-08-31,2m,2
1,eakf_model1,0.99999979311535,2008-08-31,2m,2
2,eakf_model2,6e-323,2008-08-31,2m,2
3,eakf_model3,2.0688464978573197e-07,2008-08-31,2m,2
0,arima,1.8327774994614485e-214,2008-08-31,3m,2
1,eakf_model1,0.99999999998806,2008-08-31,3m,2
2,eakf_model2,3.2711526145723796e-26,2008-08-31,3m,2
3,eakf_model3,1.1939980161230183e-11,2008-08-31,3m,2
0,arima,8.50479371448238e-124,2008-08-31,4m,2
1,eakf_model1,0.9999999999959028,2008-08-31,4m,2
2,eakf_model2,2.6626756376318258e-25,2008-08-31,4m,2
3,eakf_model3,4.097145821467881e-12,2008-08-31,4m,2
0,arima,4.058398590672432e-235,2008-08-31,5m,2
1,eakf_model1,0.9999999999731894,2008-08-31,5m,2
2,eakf_model2,6.417621044928523e-47,2008-08-31,5m,2
3,eakf_model3,2.681064295887268e-11,2008-08-31,5m,2
0,arima,1.4001136182965547e-164,2008-08-31,6m,2
1,eakf_model1,0.9999999999876356,2008-08-31,6m,2
2,eakf_model2,8.908675266521944e-26,2008-08-31,6m,2
3,eakf_model3,1.2364324924983532e-11,2008-08-31,6m,2
0,arima,0.0,2008-09-30,1m,2
1,eakf_model1,0.9999999995798428,2008-09-30,1m,2
2,eakf_model2,1.1133874236013576e-33,2008-09-30,1m,2
3,eakf_model3,4.201570643228402e-10,2008-09-30,1m,2
0,arima,0.0,2008-09-30,2m,2
1,eakf_model1,0.9999999996689636,2008-09-30,2m,2
2,eakf_model2,1.2643360836374957e-18,2008-09-30,2m,2
3,eakf_model3,3.3103646819488714e-10,2008-09-30,2m,2
0,arima,0.0,2008-09-30,3m,2
1,eakf_model1,0.999999999744796,2008-09-30,3m,2
2,eakf_model2,8.153124652910859e-49,2008-09-30,3m,2
3,eakf_model3,2.552040016089272e-10,2008-09-30,3m,2
0,arima,0.0,2008-09-30,4m,2
1,eakf_model1,0.9999999999831573,2008-09-30,4m,2
2,eakf_model2,6.82406184897291e-26,2008-09-30,4m,2
3,eakf_model3,1.6842839718380465e-11,2008-09-30,4m,2
0,arima,6.31507202968087e-179,2008-09-30,5m,2
1,eakf_model1,0.9999999999944044,2008-09-30,5m,2
2,eakf_model2,5.853636709222153e-25,2008-09-30,5m,2
3,eakf_model3,5.595788685825027e-12,2008-09-30,5m,2
0,arima,6.127660444796593e-208,2008-09-30,6m,2
1,eakf_model1,0.9999999999854092,2008-09-30,6m,2
2,eakf_model2,1.169144778527108e-32,2008-09-30,6m,2
3,eakf_model3,1.4590623741488545e-11,2008-09-30,6m,2
0,arima,0.0,2008-10-31,1m,2
1,eakf_model1,3.787296570528945e-19,2008-10-31,1m,2
2,eakf_model2,0.9999999999869174,2008-10-31,1m,2
3,eakf_model3,1.308265785530678e-11,2008-10-31,1m,2
0,arima,0.0,2008-10-31,2m,2
1,eakf_model1,1.8280153417625704e-10,2008-10-31,2m,2
2,eakf_model2,0.9999999998171984,2008-10-31,2m,2
3,eakf_model3,6.478103334662999e-30,2008-10-31,2m,2
0,arima,0.0,2008-10-31,3m,2
1,eakf_model1,0.999999999833797,2008-10-31,3m,2
2,eakf_model2,1.605840978747331e-24,2008-10-31,3m,2
3,eakf_model3,1.662031820084523e-10,2008-10-31,3m,2
0,arima,0.0,2008-10-31,4m,2
1,eakf_model1,1.072883529577074e-09,2008-10-31,4m,2
2,eakf_model2,1.3729227148552837e-115,2008-10-31,4m,2
3,eakf_model3,0.9999999989271164,2008-10-31,4m,2
0,arima,0.0,2008-10-31,5m,2
1,eakf_model1,0.9999999999391802,2008-10-31,5m,2
2,eakf_model2,4.1823233696998215e-35,2008-10-31,5m,2
3,eakf_model3,6.081976749711761e-11,2008-10-31,5m,2
0,arima,3.8489693075522334e-260,2008-10-31,6m,2
1,eakf_model1,0.9999999999882586,2008-10-31,6m,2
2,eakf_model2,1.3532503169112015e-28,2008-10-31,6m,2
3,eakf_model3,1.1741437213258344e-11,2008-10-31,6m,2
0,arima,3.458218322784234e-178,2008-11-30,1m,2
1,eakf_model1,5.184381635400115e-12,2008-11-30,1m,2
2,eakf_model2,1.0511590224018691e-20,2008-11-30,1m,2
3,eakf_model3,0.9999999999948156,2008-11-30,1m,2
0,arima,0.0,2008-11-30,2m,2
1,eakf_model1,1.1584449361685333e-22,2008-11-30,2m,2
2,eakf_model2,0.999999999885284,2008-11-30,2m,2
3,eakf_model3,1.1471589259210984e-10,2008-11-30,2m,2
0,arima,0.0,2008-11-30,3m,2
1,eakf_model1,0.999999931703492,2008-11-30,3m,2
2,eakf_model2,6.829650808130617e-08,2008-11-30,3m,2
3,eakf_model3,1.4041408352588024e-91,2008-11-30,3m,2
0,arima,0.0,2008-11-30,4m,2
1,eakf_model1,2.795864597072657e-09,2008-11-30,4m,2
2,eakf_model2,3.661391071174138e-94,2008-11-30,4m,2
3,eakf_model3,0.9999999972041352,2008-11-30,4m,2
0,arima,0.0,2008-11-30,5m,2
1,eakf_model1,0.9999992800124988,2008-11-30,5m,2
2,eakf_model2,1e-322,2008-11-30,5m,2
3,eakf_model3,7.199875010789696e-07,2008-11-30,5m,2
0,arima,0.0,2008-11-30,6m,2
1,eakf_model1,0.9999999996950713,2008-11-30,6m,2
2,eakf_model2,2.5369346599499187e-55,2008-11-30,6m,2
3,eakf_model3,3.0492881855734404e-10,2008-11-30,6m,2
0,arima,0.0,2008-12-31,1m,2
1,eakf_model1,0.9999999857503934,2008-12-31,1m,2
2,eakf_model2,3.541040755489081e-169,2008-12-31,1m,2
3,eakf_model3,1.4249606493157448e-08,2008-12-31,1m,2
0,arima,0.0,2008-12-31,2m,2
1,eakf_model1,4.351158535068328e-10,2008-12-31,2m,2
2,eakf_model2,4.855837105061609e-27,2008-12-31,2m,2
3,eakf_model3,0.999999999564884,2008-12-31,2m,2
0,arima,0.0,2008-12-31,3m,2
1,eakf_model1,1.0308953168374604e-22,2008-12-31,3m,2
2,eakf_model2,0.9999999999404184,2008-12-31,3m,2
3,eakf_model3,5.95816130217594e-11,2008-12-31,3m,2
