eval_horizon,mae,error,wis,type,frsct_date,method
6m,4.9383333333333335,3.5833333333333335,9.106552337398373,imd_incidence,2015-03-31,eakf_model1
1m,4.773333333333332,-5.0,8.666341463414634,imd_incidence,2015-03-31,eakf_model2
2m,2.7816666666666654,-2.0,6.605564024390244,imd_incidence,2015-03-31,eakf_model2
3m,3.1322222222222216,0.0,6.8038668699187,imd_incidence,2015-03-31,eakf_model2
4m,3.6758333333333333,1.25,7.408563262195121,imd_incidence,2015-03-31,eakf_model2
5m,4.296666666666667,2.4,8.25019207317073,imd_incidence,2015-03-31,eakf_model2
6m,4.3805555555555555,2.8333333333333335,8.229717987804879,imd_incidence,2015-03-31,eakf_model2
1m,2.8499999999999996,-3.0,6.435975609756098,imd_incidence,2015-03-31,eakf_model3
2m,2.7716666666666656,-0.5,6.077126524390243,imd_incidence,2015-03-31,eakf_model3
3m,3.5911111111111107,1.3333333333333333,7.115035569105691,imd_incidence,2015-03-31,eakf_model3
4m,4.237499999999999,2.5,8.00685594512195,imd_incidence,2015-03-31,eakf_model3
5m,4.6899999999999995,3.2,8.704079268292682,imd_incidence,2015-03-31,eakf_model3
6m,4.523888888888888,3.25,8.391986788617883,imd_incidence,2015-03-31,eakf_model3
1m,1.9208182790215282,-1.9208182790215282,10.54192197382332,imd_incidence,2015-03-31,sarima
2m,1.8798036026680212,-0.041014676353507085,10.18837499234531,imd_incidence,2015-03-31,sarima
3m,2.234341547194541,0.9537960278468555,9.921927731683777,imd_incidence,2015-03-31,sarima
4m,2.5022482153780508,1.5418390758672866,9.789330399677112,imd_incidence,2015-03-31,sarima
5m,2.586677739543973,1.8183504279353617,9.504101970895384,imd_incidence,2015-03-31,sarima
6m,2.362490974921633,1.7222182152477903,9.180456962512181,imd_incidence,2015-03-31,sarima
1m,2.42626493204129,2.42626493204129,10.981330346470465,imd_incidence,2015-04-30,arima
2m,3.8381703845188246,3.8381703845188246,12.25441460403576,imd_incidence,2015-04-30,arima
3m,4.6421388686780025,4.6421388686780025,13.100991015746454,imd_incidence,2015-04-30,arima
4m,5.294123110757592,5.294123110757592,13.887241632468266,imd_incidence,2015-04-30,arima
5m,5.2853136560053455,5.2853136560053455,13.859772118328513,imd_incidence,2015-04-30,arima
6m,5.112774019503848,5.112774019503848,13.692820083262049,imd_incidence,2015-04-30,arima
1m,2.0466666666666686,2.0,5.2249237804878055,imd_incidence,2015-04-30,eakf_model1
2m,3.505,3.0,6.914916158536585,imd_incidence,2015-04-30,eakf_model1
3m,4.341111111111111,4.0,8.05390243902439,imd_incidence,2015-04-30,eakf_model1
4m,5.1925,4.75,9.417237042682926,imd_incidence,2015-04-30,eakf_model1
5m,5.286,4.8,9.479350609756096,imd_incidence,2015-04-30,eakf_model1
6m,5.237777777777778,4.833333333333333,9.430261686991868,imd_incidence,2015-04-30,eakf_model1
1m,0.5566666666666684,0.0,4.5245884146341435,imd_incidence,2015-04-30,eakf_model2
2m,2.235000000000001,2.0,5.724237804878048,imd_incidence,2015-04-30,eakf_model2
3m,3.1988888888888902,2.6666666666666665,6.748856707317073,imd_incidence,2015-04-30,eakf_model2
4m,4.121666666666668,3.75,7.988974847560974,imd_incidence,2015-04-30,eakf_model2
5m,4.356,4.0,8.273567073170732,imd_incidence,2015-04-30,eakf_model2
6m,4.278888888888889,4.0,8.080459857723577,imd_incidence,2015-04-30,eakf_model2
1m,0.6733333333333338,0.5,4.673841463414634,imd_incidence,2015-04-30,eakf_model3
2m,2.656666666666667,2.75,6.314931402439024,imd_incidence,2015-04-30,eakf_model3
3m,3.462222222222223,3.5,7.096438008130083,imd_incidence,2015-04-30,eakf_model3
4m,4.1466666666666665,4.125,8.02889862804878,imd_incidence,2015-04-30,eakf_model3
5m,3.943333333333334,3.9,7.6261920731707304,imd_incidence,2015-04-30,eakf_model3
6m,3.525555555555556,3.4166666666666665,7.083066565040651,imd_incidence,2015-04-30,eakf_model3
1m,2.0556159484681995,2.0556159484681995,9.937312957216355,imd_incidence,2015-04-30,sarima
2m,2.5742743422608516,2.5742743422608516,9.715793762444893,imd_incidence,2015-04-30,sarima
3m,2.8867087304544636,2.8867087304544636,9.675296446618809,imd_incidence,2015-04-30,sarima
4m,2.9218478286859737,2.9218478286859737,9.363947389690834,imd_incidence,2015-04-30,sarima
5m,2.605946748626044,2.605946748626044,9.00392367468469,imd_incidence,2015-04-30,sarima
6m,2.1788288121056163,2.1788288121056163,8.700762257820806,imd_incidence,2015-04-30,sarima
