,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
80,2013,4,Calif.,1,1,5,12,18,0,0,2,0,5,2,13,27,9,59
81,2013,4,Hawaii,0,0,1,0,0,0,0,1,0,0,0,1,10,1,27
82,2013,4,Oreg.,0,0,4,1,7,0,0,1,0,1,4,13,54,13,31
83,2013,4,Wash.,0,0,3,0,0,0,0,1,0,0,3,83,254,3,18
84,2013,4,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2013,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2013,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2013,4,P.R.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
88,2013,4,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2013,5,UNITED STATES,9,10,19,50,58,2,4,8,7,25,130,820,"1,298",979,"2,531"
23,2013,5,NEW ENGLAND,0,0,3,1,0,0,0,1,0,0,5,45,100,84,126
24,2013,5,Conn.,0,0,1,0,0,0,0,0,0,0,0,4,9,1,5
25,2013,5,Maine,0,0,1,1,0,0,0,0,0,0,0,14,37,39,17
26,2013,5,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,35
27,2013,5,N.H.,0,0,0,0,0,0,0,1,0,0,0,2,19,4,8
28,2013,5,R.I.,0,0,0,0,0,0,0,1,0,0,2,1,20,4,10
29,2013,5,Vt.,0,0,1,0,0,0,0,0,0,0,3,9,42,36,51
30,2013,5,MID. ATLANTIC,1,1,5,3,10,0,0,3,1,0,15,105,183,144,462
31,2013,5,N.J.,0,0,2,0,1,0,0,0,0,0,0,14,40,0,87
32,2013,5,N.Y. (Upstate),1,0,2,2,1,0,0,1,0,0,11,46,109,80,153
33,2013,5,N.Y. City,0,0,2,1,3,0,0,3,0,0,0,7,19,3,87
34,2013,5,Pa.,0,0,2,0,5,0,0,1,1,0,4,34,64,61,135
35,2013,5,E.N. CENTRAL,0,1,4,1,7,1,1,3,2,10,23,174,356,174,877
36,2013,5,Ill.,0,0,3,0,1,0,0,2,1,5,0,36,64,8,225
37,2013,5,Ind.,0,0,1,1,0,0,0,2,0,1,0,8,18,4,22
