,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2007,Lyme disease cummulative for 2006,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2007,Malaria cummulative for 2006,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2007","Meningococcal diseases, invasive �, all serogroups cummulative for 2006"
58,2007,4,W. Va.,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0
59,2007,4,E.S. CENTRAL,0,0,3,0,0,0,0,3,1,1,0,1,3,2,1
60,2007,4,Ala.,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0
61,2007,4,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
62,2007,4,Miss.,0,0,1,0,0,0,0,1,1,0,0,0,2,2,0
63,2007,4,Tenn.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
64,2007,4,W.S. CENTRAL,1,0,5,1,0,0,1,7,0,3,0,1,4,2,1
65,2007,4,Ark.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
66,2007,4,La.,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
67,2007,4,Okla.,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0
68,2007,4,Tex.,1,0,5,1,0,0,1,6,0,2,0,0,3,1,0
69,2007,4,MOUNTAIN,0,0,3,1,0,0,1,6,0,3,0,1,5,1,10
70,2007,4,Ariz.,0,0,2,0,0,0,0,3,0,1,0,0,3,0,2
71,2007,4,Colo.,0,0,1,0,0,0,0,2,0,1,0,0,2,0,6
72,2007,4,Idaho,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0
73,2007,4,Mont.,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
74,2007,4,Nev.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
75,2007,4,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
76,2007,4,Utah,0,0,1,0,0,0,0,2,0,1,0,0,1,0,2
77,2007,4,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
78,2007,4,PACIFIC,2,3,13,6,5,0,4,13,3,18,5,5,16,13,38
79,2007,4,Alaska,0,0,1,0,0,0,0,4,0,2,0,0,1,0,1
80,2007,4,Calif.,2,2,13,6,5,0,3,6,0,15,5,3,10,10,20
81,2007,4,Hawaii,N,0,0,N,N,0,0,2,0,0,0,0,2,1,0
82,2007,4,Oreg.,0,0,2,0,0,0,0,3,3,1,0,0,4,1,13
83,2007,4,Wash.,0,0,1,0,0,0,0,4,0,0,0,0,5,1,4
84,2007,4,Amer. Samoa,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
85,2007,4,C.N.M.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
86,2007,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2007,4,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2007,4,V.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
22,2007,5,UNITED STATES,47,243,"1,011",413,406,11,23,39,52,113,11,20,45,71,131
23,2007,5,NEW ENGLAND,1,19,260,15,24,0,0,6,0,5,0,1,3,2,5
24,2007,5,Conn.,1,8,227,6,4,0,0,3,0,0,0,0,2,1,2
25,2007,5,Maine,0,2,34,5,5,0,0,1,0,0,0,0,2,1,2
26,2007,5,Mass.,0,0,3,0,10,0,0,3,0,4,0,0,2,0,1
27,2007,5,N.H.,0,3,95,2,4,0,0,3,0,0,0,0,2,0,0
28,2007,5,R.I.,0,0,93,0,1,0,0,1,0,0,0,0,1,0,0
29,2007,5,Vt.,0,1,15,2,0,0,0,0,0,1,0,0,1,0,0
30,2007,5,MID. ATLANTIC,22,143,565,243,248,1,5,14,7,29,0,3,11,8,24
31,2007,5,N.J.,0,27,185,25,89,0,0,3,0,9,0,0,2,0,2
